YEAR,MONTH,Datetime,Rainfull
2000,1,01-01-2000,0.08
2000,2,01-02-2000,1.3299999999999998
2000,3,01-03-2000,1.02
2000,4,01-04-2000,2.1599999999999997
2000,5,01-05-2000,1.6099999999999999
2000,6,01-06-2000,5.26
2000,7,01-07-2000,2.9
2000,8,01-08-2000,1.69
2000,9,01-09-2000,2.68
2000,10,01-10-2000,1.42
2000,11,01-11-2000,2.27
2000,12,01-12-2000,0.21999999999999997
2001,1,01-01-2001,2.1
2001,2,01-02-2001,3.0300000000000002
2001,3,01-03-2001,1.8
2001,4,01-04-2001,1.76
2001,5,01-05-2001,4.57
2001,6,01-06-2001,7.53
2001,7,01-07-2001,7.2
2001,8,01-08-2001,1.31
2001,9,01-09-2001,3.42
2001,10,01-10-2001,1.95
2001,11,01-11-2001,0.37
2001,12,01-12-2001,0.62
2002,1,01-01-2002,0.13
2002,2,01-02-2002,0.49
2002,3,01-03-2002,1.47
2002,4,01-04-2002,3.85
2002,5,01-05-2002,4.45
2002,6,01-06-2002,1.47
2002,7,01-07-2002,1.55
2002,8,01-08-2002,3.56
2002,9,01-09-2002,0.79
2002,10,01-10-2002,2.95
2002,11,01-11-2002,0.26
2002,12,01-12-2002,0.0
2003,1,01-01-2003,0.13
2003,2,01-02-2003,0.52
2003,3,01-03-2003,0.9999999999999999
2003,4,01-04-2003,3.86
2003,5,01-05-2003,3.43
2003,6,01-06-2003,4.779999999999999
2003,7,01-07-2003,1.47
2003,8,01-08-2003,1.37
2003,9,01-09-2003,2.32
2003,10,01-10-2003,1.27
2003,11,01-11-2003,1.28
2003,12,01-12-2003,1.5499999999999998
2004,1,01-01-2004,0.47000000000000003
2004,2,01-02-2004,0.36
2004,3,01-03-2004,4.62
2004,4,01-04-2004,1.5100000000000002
2004,5,01-05-2004,7.47
2004,6,01-06-2004,6.66
2004,7,01-07-2004,3.55
2004,8,01-08-2004,4.81
2004,9,01-09-2004,2.61
2004,10,01-10-2004,1.77
2004,11,01-11-2004,1.46
2004,12,01-12-2004,0.31
2005,1,01-01-2005,1.02
2005,2,01-02-2005,2.23
2005,3,01-03-2005,0.89
2005,4,01-04-2005,4.880000000000001
2005,5,01-05-2005,1.45
2005,6,01-06-2005,5.8
2005,7,01-07-2005,4.18
2005,8,01-08-2005,1.9700000000000002
2005,9,01-09-2005,1.48
2005,10,01-10-2005,2.71
2005,11,01-11-2005,1.4200000000000002
2005,12,01-12-2005,1.1
2006,1,01-01-2006,0.89
2006,2,01-02-2006,0.01
2006,3,01-03-2006,1.43
2006,4,01-04-2006,4.390000000000001
2006,5,01-05-2006,1.07
2006,6,01-06-2006,3.7600000000000002
2006,7,01-07-2006,1.89
2006,8,01-08-2006,9.26
2006,9,01-09-2006,3.85
2006,10,01-10-2006,3.04
2006,11,01-11-2006,1.17
2006,12,01-12-2006,1.37
2007,1,01-01-2007,0.35
2007,2,01-02-2007,0.7000000000000001
2007,3,01-03-2007,2.6
2007,4,01-04-2007,2.14
2007,5,01-05-2007,9.49
2007,6,01-06-2007,1.1099999999999999
2007,7,01-07-2007,2.31
2007,8,01-08-2007,6.1899999999999995
2007,9,01-09-2007,2.19
2007,10,01-10-2007,3.7
2007,11,01-11-2007,0.02
2007,12,01-12-2007,1.3900000000000001
2008,1,01-01-2008,0.38999999999999996
2008,2,01-02-2008,1.79
2008,3,01-03-2008,1.82
2008,4,01-04-2008,5.8500000000000005
2008,5,01-05-2008,3.73
2008,6,01-06-2008,9.219999999999999
2008,7,01-07-2008,1.64
2008,8,01-08-2008,1.06
2008,9,01-09-2008,7.52
2008,10,01-10-2008,3.7
2008,11,01-11-2008,1.19
2008,12,01-12-2008,0.97
2009,1,01-01-2009,0.030000000000000002
2009,2,01-02-2009,0.29
2009,3,01-03-2009,3.5
2009,4,01-04-2009,4.68
2009,5,01-05-2009,5.98
2009,6,01-06-2009,7.42
2009,7,01-07-2009,2.67
2009,8,01-08-2009,5.77
2009,9,01-09-2009,0.53
2009,10,01-10-2009,4.42
2009,11,01-11-2009,2.4899999999999998
2009,12,01-12-2009,0.9400000000000001
2010,1,01-01-2010,0.37
2010,2,01-02-2010,0.38
2010,3,01-03-2010,2.54
2010,4,01-04-2010,4.54
2010,5,01-05-2010,6.36
2010,6,01-06-2010,7.8500000000000005
2010,7,01-07-2010,3.0500000000000003
2010,8,01-08-2010,1.44
2010,9,01-09-2010,6.63
2010,10,01-10-2010,1.5199999999999998
2010,11,01-11-2010,1.52
2010,12,01-12-2010,0.24000000000000002
2011,1,01-01-2011,0.3
2011,2,01-02-2011,0.27
2011,3,01-03-2011,1.3800000000000001
2011,4,01-04-2011,4.04
2011,5,01-05-2011,4.7
2011,6,01-06-2011,2.97
2011,7,01-07-2011,2.27
2011,8,01-08-2011,4.8100000000000005
2011,9,01-09-2011,0.64
2011,10,01-10-2011,0.24
2011,11,01-11-2011,3.5
2011,12,01-12-2011,2.77
2012,1,01-01-2012,0.29000000000000004
2012,2,01-02-2012,1.98
2012,3,01-03-2012,2.76
2012,4,01-04-2012,3.2
2012,5,01-05-2012,2.96
2012,6,01-06-2012,1.92
2012,7,01-07-2012,2.0
2012,8,01-08-2012,3.08
2012,9,01-09-2012,0.79
2012,10,01-10-2012,1.83
2012,11,01-11-2012,1.7100000000000002
2012,12,01-12-2012,1.0899999999999999
2013,1,01-01-2013,1.02
2013,2,01-02-2013,0.66
2013,3,01-03-2013,1.2
2013,4,01-04-2013,4.26
2013,5,01-05-2013,6.83
2013,6,01-06-2013,3.75
2013,7,01-07-2013,0.86
2013,8,01-08-2013,0.1
2013,9,01-09-2013,3.58
2013,10,01-10-2013,3.32
2013,11,01-11-2013,1.24
2013,12,01-12-2013,0.22000000000000003
2014,1,01-01-2014,0.06
2014,2,01-02-2014,0.6499999999999999
2014,3,01-03-2014,0.74
2014,4,01-04-2014,3.06
2014,5,01-05-2014,2.71
2014,6,01-06-2014,8.84
2014,7,01-07-2014,3.5
2014,8,01-08-2014,9.72
2014,9,01-09-2014,5.01
2014,10,01-10-2014,4.49
2014,11,01-11-2014,0.22999999999999998
2014,12,01-12-2014,0.87
2015,1,01-01-2015,0.52
2015,2,01-02-2015,0.62
2015,3,01-03-2015,0.98
2015,4,01-04-2015,1.82
2015,5,01-05-2015,6.51
2015,6,01-06-2015,5.16
2015,7,01-07-2015,11.41
2015,8,01-08-2015,3.95
2015,9,01-09-2015,3.9
2015,10,01-10-2015,0.99
2015,11,01-11-2015,4.48
2015,12,01-12-2015,2.72
2016,1,01-01-2016,0.7
2016,2,01-02-2016,0.69
2016,3,01-03-2016,1.59
2016,4,01-04-2016,5.2700000000000005
2016,5,01-05-2016,7.14
2016,6,01-06-2016,4.98
2016,7,01-07-2016,2.9899999999999998
2016,8,01-08-2016,8.01
2016,9,01-09-2016,5.9799999999999995
2016,10,01-10-2016,1.47
2016,11,01-11-2016,0.6900000000000001
2016,12,01-12-2016,1.1199999999999999
2017,1,01-01-2017,1.03
2017,2,01-02-2017,0.27
2017,3,01-03-2017,2.76
2017,4,01-04-2017,7.16
2017,5,01-05-2017,3.26
2017,6,01-06-2017,11.459999999999999
2017,7,01-07-2017,5.13
2017,8,01-08-2017,2.44
2017,9,01-09-2017,0.91
2017,10,01-10-2017,5.11
2017,11,01-11-2017,0.47
2017,12,01-12-2017,0.12
2018,1,01-01-2018,0.44999999999999996
2018,2,01-02-2018,0.4
2018,3,01-03-2018,1.4300000000000002
2018,4,01-04-2018,0.53
2018,5,01-05-2018,1.55
2018,6,01-06-2018,2.6100000000000003
2018,7,01-07-2018,1.21
2018,8,01-08-2018,7.46
2018,9,01-09-2018,2.32
2018,10,01-10-2018,6.98
2018,11,01-11-2018,0.55
2018,12,01-12-2018,2.22
2019,1,01-01-2019,0.6900000000000001
2019,2,01-02-2019,1.66
2019,3,01-03-2019,3.73
2019,4,01-04-2019,2.17
2019,5,01-05-2019,11.149999999999999
2019,6,01-06-2019,4.819999999999999
2019,7,01-07-2019,3.01
2019,8,01-08-2019,5.13
2019,9,01-09-2019,7.83
2019,10,01-10-2019,2.2399999999999998
2019,11,01-11-2019,0.58
2019,12,01-12-2019,1.1600000000000001
2020,1,01-01-2020,1.64
2020,2,01-02-2020,0.18
2020,3,01-03-2020,2.24
2020,4,01-04-2020,2.62
2020,5,01-05-2020,5.85
2020,6,01-06-2020,2.87
2020,7,01-07-2020,8.65
2020,8,01-08-2020,2.25
2020,9,01-09-2020,1.9700000000000002
2020,10,01-10-2020,0.75
2020,11,01-11-2020,3.12
2020,12,01-12-2020,0.5
2021,1,01-01-2021,1.45
2021,2,01-02-2021,0.06
2021,3,01-03-2021,3.47
2021,4,01-04-2021,2.09
2021,5,01-05-2021,3.65
2021,6,01-06-2021,5.970000000000001
2021,7,01-07-2021,3.42
2021,8,01-08-2021,2.59
2021,9,01-09-2021,0.33
2021,10,01-10-2021,4.95
2021,11,01-11-2021,2.1199999999999997
2021,12,01-12-2021,0.37
2022,1,01-01-2022,0.62
2022,2,01-02-2022,0.05
2022,3,01-03-2022,2.98
2022,4,01-04-2022,3.4
2022,5,01-05-2022,6.83
2022,6,01-06-2022,4.55
2022,7,01-07-2022,3.3800000000000003
2022,8,01-08-2022,3.1900000000000004
2022,9,01-09-2022,0.84
2022,10,01-10-2022,1.29
2022,11,01-11-2022,3.1
2022,12,01-12-2022,0.9800000000000001
2023,1,01-01-2023,1.06
2023,2,01-02-2023,2.35
2023,3,01-03-2023,1.43
2023,4,01-04-2023,1.77
2023,5,01-05-2023,3.15
2023,6,01-06-2023,4.5
2023,7,01-07-2023,4.37
2023,8,01-08-2023,7.1000000000000005
2023,9,01-09-2023,0.33
2023,10,01-10-2023,2.03
2023,11,01-11-2023,0.0
