YEAR,MONTH,Datetime,Rainfull
2000,1,01-01-2000,6.529999999999999
2000,2,01-02-2000,4.59
2000,3,01-03-2000,4.51
2000,4,01-04-2000,1.9799999999999998
2000,5,01-05-2000,6.33
2000,6,01-06-2000,2.72
2000,7,01-07-2000,3.2500000000000004
2000,8,01-08-2000,2.42
2000,9,01-09-2000,3.01
2000,10,01-10-2000,0.99
2000,11,01-11-2000,4.71
2000,12,01-12-2000,1.0
2001,1,01-01-2001,1.15
2001,2,01-02-2001,4.82
2001,3,01-03-2001,2.75
2001,4,01-04-2001,0.41
2001,5,01-05-2001,2.23
2001,6,01-06-2001,3.07
2001,7,01-07-2001,5.31
2001,8,01-08-2001,2.19
2001,9,01-09-2001,2.37
2001,10,01-10-2001,4.34
2001,11,01-11-2001,6.73
2001,12,01-12-2001,7.99
2002,1,01-01-2002,4.62
2002,2,01-02-2002,1.44
2002,3,01-03-2002,7.28
2002,4,01-04-2002,5.359999999999999
2002,5,01-05-2002,5.79
2002,6,01-06-2002,3.92
2002,7,01-07-2002,2.68
2002,8,01-08-2002,1.59
2002,9,01-09-2002,4.09
2002,10,01-10-2002,3.42
2002,11,01-11-2002,2.8
2002,12,01-12-2002,5.890000000000001
2003,1,01-01-2003,0.66
2003,2,01-02-2003,5.17
2003,3,01-03-2003,2.14
2003,4,01-04-2003,4.77
2003,5,01-05-2003,4.44
2003,6,01-06-2003,7.4399999999999995
2003,7,01-07-2003,3.3
2003,8,01-08-2003,2.95
2003,9,01-09-2003,5.359999999999999
2003,10,01-10-2003,1.34
2003,11,01-11-2003,4.78
2003,12,01-12-2003,2.76
2004,1,01-01-2004,2.38
2004,2,01-02-2004,2.04
2004,3,01-03-2004,2.77
2004,4,01-04-2004,2.79
2004,5,01-05-2004,3.63
2004,6,01-06-2004,1.42
2004,7,01-07-2004,1.8900000000000001
2004,8,01-08-2004,2.76
2004,9,01-09-2004,0.28
2004,10,01-10-2004,4.54
2004,11,01-11-2004,6.92
2004,12,01-12-2004,2.6
2005,1,01-01-2005,5.84
2005,2,01-02-2005,2.55
2005,3,01-03-2005,3.0
2005,4,01-04-2005,3.34
2005,5,01-05-2005,0.72
2005,6,01-06-2005,2.2
2005,7,01-07-2005,5.32
2005,8,01-08-2005,4.34
2005,9,01-09-2005,2.76
2005,10,01-10-2005,0.0
2005,11,01-11-2005,3.5
2005,12,01-12-2005,0.92
2006,1,01-01-2006,4.62
2006,2,01-02-2006,2.16
2006,3,01-03-2006,5.0200000000000005
2006,4,01-04-2006,3.95
2006,5,01-05-2006,6.720000000000001
2006,6,01-06-2006,2.47
2006,7,01-07-2006,3.49
2006,8,01-08-2006,3.0
2006,9,01-09-2006,11.62
2006,10,01-10-2006,4.34
2006,11,01-11-2006,4.61
2006,12,01-12-2006,4.39
2007,1,01-01-2007,6.069999999999999
2007,2,01-02-2007,2.84
2007,3,01-03-2007,2.45
2007,4,01-04-2007,2.8000000000000003
2007,5,01-05-2007,3.29
2007,6,01-06-2007,6.64
2007,7,01-07-2007,3.1100000000000003
2007,8,01-08-2007,0.25
2007,9,01-09-2007,2.82
2007,10,01-10-2007,7.6
2007,11,01-11-2007,2.39
2007,12,01-12-2007,7.12
2008,1,01-01-2008,1.8000000000000003
2008,2,01-02-2008,2.95
2008,3,01-03-2008,9.48
2008,4,01-04-2008,5.8999999999999995
2008,5,01-05-2008,5.15
2008,6,01-06-2008,3.36
2008,7,01-07-2008,2.93
2008,8,01-08-2008,1.14
2008,9,01-09-2008,0.8
2008,10,01-10-2008,2.33
2008,11,01-11-2008,2.16
2008,12,01-12-2008,4.72
2009,1,01-01-2009,2.79
2009,2,01-02-2009,3.0100000000000002
2009,3,01-03-2009,2.48
2009,4,01-04-2009,5.5
2009,5,01-05-2009,5.960000000000001
2009,6,01-06-2009,3.63
